1 - 2 žlici ocvirkov
dimljeno olje
sladke smetane
lososovega fileja s kožo
mlade špinaèe
sol
sol in beli poper
svež drobnjak in drobnjak
mali šalotki
èesna
limonin sok
košèek masla
rožmarina
sladka smetana
sveže ostrige
sladkega krompirja
osoènik
olivnega olja
brokoli
bukovega ostrigarja
pišèanèji bedri
sol in poper
pomaranèa
masla
